,date,category,category_names,brand,pack_size,pack_type,itemid,name,price_median,raw_discount,price_before_discount,units_sold,stock,status,item_page,low_price_guarantee,on_flash_sale,can_use_bundle_deal,can_use_cod,can_use_wholesale,show_free_shipping,like_count,comment_count,views,no_rating,star_1,star_2,star_3,star_4,star_5,rating,month,day,units_sold_diff,product_name
0,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,600ML X 1,single-pack,3833748138,Pepsi Regular Soda 600ml,31,0,,740,35,1,31.0,False,False,False,False,False,False,38,166,,161,2,2,1,0,166,4.95,January,23,,Regular Soda
1,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,330ML X 1,single-pack,7533648339,Pepsi Regular Soda 330ml,31,0,,1209,55,1,43.0,True,False,False,False,False,False,153,184,,165,6,7,0,6,184,4.76,January,23,,Regular Soda
2,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,4833654427,Pepsi Black 2 Liters,71,0,,2836,124,1,51.0,True,False,False,False,False,False,206,439,,421,5,4,2,7,439,4.91,January,23,,Pepsi Black
3,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,5533636522,Pepsi Regular Soda 1.5L,62,0,,910,387,1,54.0,True,False,False,False,False,False,112,217,,208,4,2,0,3,217,4.9,January,23,,Regular Soda
4,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,6733644408,Pepsi Regular Soda 2L,71,0,,1195,43,1,55.0,True,False,False,False,False,False,130,323,,310,4,2,1,6,323,4.89,January,23,,Regular Soda
5,2023-01-23 13:21:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,4933652465,Pepsi Black 1.5Liter,62,0,,494,8,1,62.0,True,False,False,False,False,False,45,91,,90,0,1,0,0,91,4.98,January,23,,Pepsi Black
6,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,600ML X 1,single-pack,3833748138,Pepsi Regular Soda 600ml,31,0,,740,35,1,31.0,False,False,False,False,False,False,38,166,,161,2,2,1,0,166,4.95,January,24,0.0,Regular Soda
7,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,330ML X 1,single-pack,7533648339,Pepsi Regular Soda 330ml,31,0,,1209,55,1,42.0,True,False,False,False,False,False,153,184,,165,6,7,0,6,184,4.76,January,24,0.0,Regular Soda
8,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,4833654427,Pepsi Black 2 Liters,71,0,,2836,124,1,50.0,True,False,False,False,False,False,206,439,,421,5,4,2,7,439,4.91,January,24,0.0,Pepsi Black
9,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,5533636522,Pepsi Regular Soda 1.5L,62,0,,910,385,1,53.0,True,False,False,False,False,False,112,217,,208,4,2,0,3,217,4.9,January,24,0.0,Regular Soda
10,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,6733644408,Pepsi Regular Soda 2L,71,0,,1195,43,1,54.0,True,False,False,False,False,False,130,323,,310,4,2,1,6,323,4.89,January,24,0.0,Regular Soda
11,2023-01-24 13:08:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,4933652465,Pepsi Black 1.5Liter,62,0,,494,8,1,62.0,True,False,False,False,False,False,45,91,,90,0,1,0,0,91,4.98,January,24,0.0,Pepsi Black
12,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,600ML X 1,single-pack,3833748138,Pepsi Regular Soda 600ml,31,0,,740,35,1,31.0,False,False,False,False,False,False,38,166,,161,2,2,1,0,166,4.95,January,25,0.0,Regular Soda
13,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,330ML X 1,single-pack,7533648339,Pepsi Regular Soda 330ml,31,0,,1209,55,1,43.0,True,False,False,False,False,False,153,184,,165,6,7,0,6,184,4.76,January,25,0.0,Regular Soda
14,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,4833654427,Pepsi Black 2 Liters,71,0,,2836,124,1,51.0,True,False,False,False,False,False,206,439,,421,5,4,2,7,439,4.91,January,25,0.0,Pepsi Black
15,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,5533636522,Pepsi Regular Soda 1.5L,62,0,,910,384,1,54.0,True,False,False,False,False,False,112,217,,208,4,2,0,3,217,4.9,January,25,0.0,Regular Soda
16,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,6733644408,Pepsi Regular Soda 2L,71,0,,1195,43,1,54.0,True,False,False,False,False,False,130,323,,310,4,2,1,6,323,4.89,January,25,0.0,Regular Soda
17,2023-01-25 21:48:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,4933652465,Pepsi Black 1.5Liter,62,0,,494,8,1,63.0,True,False,False,False,False,False,45,91,,90,0,1,0,0,91,4.98,January,25,0.0,Pepsi Black
18,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,600ML X 1,single-pack,3833748138,Pepsi Regular Soda 600ml,31,0,,740,35,1,31.0,False,False,False,False,False,False,38,166,,161,2,2,1,0,166,4.95,January,26,0.0,Regular Soda
19,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,330ML X 1,single-pack,7533648339,Pepsi Regular Soda 330ml,31,0,,1209,55,1,43.0,True,False,False,False,False,False,153,184,,165,6,7,0,6,184,4.76,January,26,0.0,Regular Soda
20,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,4833654427,Pepsi Black 2 Liters,71,0,,2836,124,1,51.0,True,False,False,False,False,False,206,439,,421,5,4,2,7,439,4.91,January,26,0.0,Pepsi Black
21,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,5533636522,Pepsi Regular Soda 1.5L,62,0,,910,384,1,54.0,True,False,False,False,False,False,112,217,,208,4,2,0,3,217,4.9,January,26,0.0,Regular Soda
22,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,6733644408,Pepsi Regular Soda 2L,71,0,,1196,43,1,55.0,True,False,False,False,False,False,130,323,,310,4,2,1,6,323,4.89,January,26,1.0,Regular Soda
23,2023-01-26 13:27:00,100629,Food & Beverage,Pepsi,1.5L X 1,single-pack,4933652465,Pepsi Black 1.5Liter,62,0,,494,8,1,63.0,True,False,False,False,False,False,45,91,,90,0,1,0,0,91,4.98,January,26,0.0,Pepsi Black
24,2023-01-27 14:30:00,100629,Food & Beverage,Pepsi,600ML X 1,single-pack,3833748138,Pepsi Regular Soda 600ml,31,0,,740,33,1,31.0,False,False,False,False,False,False,38,166,,161,2,2,1,0,166,4.95,January,27,0.0,Regular Soda
25,2023-01-27 14:30:00,100629,Food & Beverage,Pepsi,330ML X 1,single-pack,7533648339,Pepsi Regular Soda 330ml,31,0,,1209,55,1,44.0,True,False,False,False,False,False,153,184,,165,6,7,0,6,184,4.76,January,27,0.0,Regular Soda
26,2023-01-27 14:30:00,100629,Food & Beverage,Pepsi,2L X 1,single-pack,4833654427,Pepsi Black 2 Liters,71,0,,2836,124,1,51.0,True,False,False,False,False,False,206,439,,421,5,4,2,7,439,4.91,January,27,0.0,Pepsi Black
