,date,category,category_names,brand,pack_size,pack_type,itemid,name,price_median,raw_discount,price_before_discount,units_sold,stock,status,item_page,low_price_guarantee,on_flash_sale,can_use_bundle_deal,can_use_cod,can_use_wholesale,show_free_shipping,like_count,comment_count,views,no_rating,star_1,star_2,star_3,star_4,star_5,rating,month,day,units_sold_diff
14,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,3947509299,Quaker Oaties Chocolate Chips 28g,11,8,12,4578,20,1,1,True,False,False,False,False,False,224,860,,819,23,9,2,7,860,4.91,January,23,
46,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,10,9,11,2394,64,1,2,False,False,False,False,False,False,104,421,,399,8,8,1,5,421,4.89,January,23,
48,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,90,9,99,4662,9,1,2,True,False,False,False,False,False,501,1875,,1799,35,17,7,17,1875,4.92,January,23,
61,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,1KG X 1,single-pack,5447406497,Quaker Instant Oatmeal 1kg,196,10,217,4063,29,1,3,False,False,False,False,False,False,610,1805,,1729,32,22,5,17,1805,4.91,January,23,
138,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,11,0,,3644,47,1,7,True,False,False,False,False,False,154,637,,611,10,8,2,6,637,4.92,January,23,
152,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,4953757865,Quaker Flavored Oatmeal Chocolate 500g,90,9,99,3616,24,1,10,True,False,False,False,False,False,556,1531,,1483,21,14,4,10,1532,4.93,January,23,
164,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,33G/GR X 12,multi-pack,6147393750,Quaker Flavored Oatmeal Banana & Honey 33g (Pack of 12),108,10,120,1784,23,1,11,True,False,False,False,False,False,205,804,,776,14,4,2,8,804,4.93,January,23,
165,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,5247407431,Quaker Quick Cooking Oatmeal 400g,63,10,70,977,44,1,11,False,False,False,False,False,False,150,424,,410,10,2,0,2,424,4.95,January,23,
170,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,3947502230,Quaker Flavored Oatmeal Original with Milk 500g,95,10,105,1829,16,1,12,True,False,False,False,False,False,263,753,,722,18,8,0,5,753,4.93,January,23,
172,2023-01-23 13:21:00,100629,Food & Beverage,Quaker,1Pack X 1,single-pack,5447411435,Quaker Cookies Variety Pack,77,0,,6752,67,1,12,True,False,False,False,False,False,817,2482,,2377,43,19,11,32,2482,4.91,January,23,
