,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,6734797015,238345847,100632,Nestle Cerelac Healthy Snacks Nutripuffs Banana & Strawberry 50g,50G/GR X 1,0,9500000,9500000,0,,Cerelac,623,3024,,2917,51,21,9,26,3024,4.926893814091962,524,9579,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['sg-11134201-22100-s7dz5sy47wiva8', 'sg-11134201-22100-5vl45sy47wivf0', '9fbe5085cc26ce028b3a768b687da913', 'ebee27d4445e979ad09eb8206241e7ed']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
1,4534797877,238345847,100632,Nestle Cerelac Healthy Snacks Nutripuffs Banana and Orange 50G,50G/GR X 1,0,9000000,9000000,0,,Cerelac,464,2723,,2619,49,26,10,19,2723,4.925055106539309,224,8353,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['sg-11134201-22100-1ss8ku4v7wiv10', 'sg-11134201-22100-t7d8uu4v7wivaa', '82b8af830a87c0b3f726ad2d2cc46b22', 'f59378a8f8c26147ccc88e8eccd60c37']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2,4534006908,238345847,100632,Colgate Kids Toothpaste Tiger 40g,40G/GR X 1,4000000,3900000,3900000,3,3%,Colgate,917,6966,,6750,107,49,17,43,6966,4.940813101565867,2515,22827,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['0fcc1daa26be4580046b4102d12b3b6e', '5fc0c3410bee7d4a95d9b1e802a6a343', '1f273ccf5d97cc7956021f4312917ffd', '66df471fa1124e0157134bdbd30e04b2']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
3,3634981326,238345847,100629,Chuckie Opti-Grow Flavoured Milk Baon Saver's Pack 6's  (110ml),110ML X 6,0,7900000,7900000,0,,Chuckie,3666,7054,,6705,146,79,37,87,7054,4.895685495316491,525,22086,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['79a0dd3f16b4941dc4f0fa81f5185c0b', '65083ce74446ab27f098be0955e32879', '6f225fae7d45e7cdd415011636dee02c', 'b24f5d449fcddc773e4ea86817214cc3', '294444bb2f0b0b87c3c910b63de09b7d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
4,4534001289,238345847,100001,Colgate Plax Antibacterial Mouthwash Freshmint Splash 60mL,60ML X 1,0,3500000,3500000,0,,Colgate,1139,2923,,2799,60,26,16,22,2923,4.917151660390277,525,8395,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['81f72390380cf93bd47a9a122a812ee7', '3ff6aee1ac9a3657c96f4b5adb6f7a7d', '60ffa1c216c888981092f4fdfa8df129', '3ba825b9e9dd0946109b950c8ccff882', '4ba9e43d239e63d42738fd216f40e6be', '8edb4cedd468d394ea67435c4aa14b7e', '11aef7d8befacc555d264c324c91d9a5', 'e258acec88b8ae69386bbad9d5b1a2b1', 'be7b88f05d520d16cef3bfe5a71a8521']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
5,3423384287,238345847,100629,Clara Olé Cheesy Pesto Pasta Sauce 180g,180G/GR X 1,0,14700000,14700000,0,,Clara Olé,1587,3211,,3080,66,20,11,34,3211,4.917991892734643,113,13794,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['0992c293d9f6a6e37962689edfcab6a8', '950e2df82ac2160a937688641c6f33b0', '89dd7a5f506de9a45155c502fc19e38f', 'ea85f0705d92fb502037f959c7da4313', 'd282588fb3c79a93994925a2062b98fc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
6,5357349147,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,0,2600000,2600000,0,,Mega,294,2752,,2628,50,25,15,34,2752,4.905316824471959,288,17083,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
7,7234791091,238345847,100632,Cerelac Baby Food Mixed Vegetables & Soya 120grams,120G/GR X 1,0,6800000,6800000,0,,Cerelac,303,1822,,1771,22,17,4,8,1822,4.946732564524987,177,4961,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['sg-11134201-22100-pf35q0op6wiv41', 'sg-11134201-22100-1wn3g0op6wiv4b', '3015fb73890eb0b093a58b15d535b81c', 'e10a191cb39abf07bc1d162ee06cb86b']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,4023288198,238345847,100629,Clara Olé Carbonara Pasta Sauce 200g,200G/GR X 1,0,3800000,3800000,0,,Clara Olé,1100,2184,,2110,36,16,10,12,2184,4.938532110091743,38,8873,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['3a89455848d559ea7a37d84cd2e111f3', 'a49155f8a1b42b9d8f9a1179a2e6a0af', 'fb3c7e37b165d8dca82ebf3185d08dc8', 'f2948eb0e1aeb6d2798d995d63f2cddd', 'a9c2561c39855882439d22aa4d26fa5e', '92a1e57c7a9e78c5be0f6b0a35a188dc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,3345912476,238345847,100631,Whiskas Junior Tuna in Pouch for Kittens 80g,80G/GR X 1,0,3300000,3300000,0,,Whiskas,954,3191,,3064,62,33,10,22,3191,4.926890492626295,427,55154,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['da21f4838dba4e330958147384599c1c', 'dc825838a27299ab60278a9e51413241', '250e971b123ed5c36248af196bfedd90']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
10,7034801925,238345847,100632,GERBER Baby Food Squash Puree 80g,90G/GR X 1,0,6100000,6100000,0,,Gerber,326,1929,,1893,13,6,4,13,1929,4.95386210471747,167,5765,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['ae372352835e6a40a8ddc9b10534aac9', 'd728853d8eb7d46c97a664ca25b8f720', '94aa8992c7a30f86bd4d55c2f0ec17c2', '5156a8f82628580fad06896d1cca7ea9', '249918b5280a90a38ef0eaefe8c42209']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
11,3936704109,238345847,100629,Century Tuna Flakes in Oil 180g,180G/GR X 1,0,4300000,4300000,0,,Century Tuna,672,6544,,6147,150,94,38,116,6545,4.868566176470588,1184,37790,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['4d968d8443c98035ad317a862059cce1', '82b4480cefb6a78b419853903fad0b1a', 'c3d00e86e648d3c10d6bb66d71452a91']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
