date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-10-01 07:53:00,12805407603,10012023-0753,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,2817,32280,,29092,2116,570,230,272,32280,4.843859594674281,72506,248462,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,8990471009,10012023-0753,238345847,100629,Bear Brand Fortified Powdered Milk Drink SWAK Pack of 8 - 33g,33G/GR X 8,0,9400000,9400000,0,,,1191,8890,,8392,274,104,31,89,8890,4.89602790593001,20528,72211,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-qvetmdh94wiv1f', 'sg-11134201-22100-21ueqjh94wiv30', 'fc8b2ef76feceda68197c7f6156889c3', 'ec1acd385615d3d2c445cbbf0af564af', '6d379c907d6a3d50fe882857ebbf9d49', '2f82a1b9196a0d98de90db740081be65']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5357349147,10012023-0753,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,645,5885,,5409,215,105,54,103,5886,4.833673469387755,24272,67602,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7932743922,10012023-0753,238345847,100629,"Kopiko Blanca, Twin Pack 10 x 58g",58G/GR X 10,0,13100000,13100000,0,,Kopiko,678,4446,,4199,135,37,11,64,4446,4.8878378378378375,13887,51297,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['8c28afbf1b7e773afa90bf23dc7b3fd2', '8d6b526193030271c7b0db54fa9e4c12', '4776402685d5b40f0bdda0bb1918d8ef', 'bcbcc2a48ea5f741aa551ebd265dfb99']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,13705400379,10012023-0753,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,811,6976,,6121,521,175,54,105,6976,4.791445385388259,10645,65688,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,10185573248,10012023-0753,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,0,1600000,1600000,0,,,784,4780,,4195,311,115,64,96,4781,4.76626909395271,20893,69114,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7957351456,10012023-0753,238345847,100629,Mega Sardines Tomato Sauce Chilli 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,454,4562,,4155,188,89,31,99,4562,4.814652336038605,7671,43677,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f23ba1a5807d6b604b45ee18039a2387', 'bb57b13f77a2b57768506557838ac7a6', '455879a35e7eca5b3e7cf33e2e5d257a', '7079e0bf30acacc3eab1b4265344c780', '4fb9a358f733b440d0a70dc8fa9a04d1']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7563131279,10012023-0753,238345847,100001,Pepsodent Whitening 2 Pieces 190g,19G/GR X 2,11900000,11700000,11700000,2,2%,Pepsodent,1171,9816,,9217,397,106,36,60,9816,4.9027919298960665,11737,31871,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['a985d5d74f0ad570c9e2e7c306816ffc', 'cb4e8ecc7789978f9ff2e2f68eb01463', '2efaf392d403d01402f8fc182f3206f0', 'c2b2cd9769ff352836b6d0b012fa30ef', '3da7d11494abac9d69bd259d3bbf5ba2', '8c5832e215669761db81d4361b32dd47', '35a752bf718691cf61279274dbd24fb0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,4236603025,10012023-0753,238345847,100629,Argentina Corned Beef 150g,150G/GR X 1,0,3500000,3500000,0,,Argentina,1002,9113,,8505,263,152,50,143,9113,4.862872211844852,8654,70004,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['de22d28848d5589beab21e5cd0305293', 'cb1a6828ab69741b4bf4e39fa83f460f', '8cde525177fdd393029043afa880d7eb', '28af6ec58901c5ad9fe6bc8cacf7160e', 'dadcbb5be0dad59404b893ef34de05fa', 'cb7daa23246a87dd80c09ef2655d5e6c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,13474365034,10012023-0753,238345847,100629,Maggi Magic Sarap All-In-One Seasoning Granules 8g  Pack of 16,8G/GR X 16,7000000,6100000,6100000,13,13%,,769,6701,,6272,238,86,27,78,6701,4.880692847543676,1037,73025,1,True,"Calamba City, Laguna",True,False,True,False,True,False,False,"['12bf56b779c876e6fcb8d0e651550236', 'c821b3fbe4e938488dc9136d6299dbf9', 'c6d9ad871b82cc6ff5dcf2b4d76ef444', 'f7a3fd9ea4b01859fde0a85bae73118e', '38c42ab77631e7b00940f7f447c03529', 'a41dc5938776dc81e6a48d903d904609', '6ac40d18d166eef551dce5c250056767', 'fb7d5935546c14cf062f12d87071586e']","[{'name': '1', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
