date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-09-27 11:03:00,12805407603,09272023-1103,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,2740,31439,,28325,2068,554,224,268,31439,4.843327810349223,57843,242579,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,8990471009,09272023-1103,238345847,100629,Bear Brand Fortified Powdered Milk Drink SWAK Pack of 8 - 33g,33G/GR X 8,0,9400000,9400000,0,,,1173,8747,,8264,267,100,30,86,8747,4.89775846294602,24496,69148,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-qvetmdh94wiv1f', 'sg-11134201-22100-21ueqjh94wiv30', 'fc8b2ef76feceda68197c7f6156889c3', 'ec1acd385615d3d2c445cbbf0af564af', '6d379c907d6a3d50fe882857ebbf9d49', '2f82a1b9196a0d98de90db740081be65']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,5357349147,09272023-1103,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,638,5821,,5353,211,102,53,103,5822,4.834078404401651,21218,66079,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,7932743922,09272023-1103,238345847,100629,"Kopiko Blanca, Twin Pack 10 x 58g",58G/GR X 10,0,13100000,13100000,0,,Kopiko,664,4349,,4109,132,35,11,62,4349,4.8888633225954905,7137,46699,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['8c28afbf1b7e773afa90bf23dc7b3fd2', '8d6b526193030271c7b0db54fa9e4c12', '4776402685d5b40f0bdda0bb1918d8ef', 'bcbcc2a48ea5f741aa551ebd265dfb99']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,13705400379,09272023-1103,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,802,6750,,5912,511,170,52,105,6750,4.7883417383565705,7830,63648,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,10185573248,09272023-1103,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,0,1600000,1600000,0,,,770,4690,,4114,306,115,63,93,4691,4.766048197910002,17587,67917,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,7957351456,09272023-1103,238345847,100629,Mega Sardines Tomato Sauce Chilli 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,450,4515,,4109,187,89,31,99,4515,4.812943262411348,7418,42546,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f23ba1a5807d6b604b45ee18039a2387', 'bb57b13f77a2b57768506557838ac7a6', '455879a35e7eca5b3e7cf33e2e5d257a', '7079e0bf30acacc3eab1b4265344c780', '4fb9a358f733b440d0a70dc8fa9a04d1']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,4032750892,09272023-1103,238345847,100629,"Kopiko Brown Coffee, Promo Twin 10 x 53g",53G/GR X 10,0,12500000,12500000,0,,Kopiko,648,4203,,3981,123,35,18,46,4203,4.8980709692784,3979,37635,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['566c92b60d81529b51bc96aaf5cccc83', '61f60ebe383f15d59a724880e28576cb', 'c1512263b6e43bb1d8c8df8b37f10523', '15c7005c141dae1b7c080c9a2ed17d4a', '4bef92b92c99f88b3e9f4277f2086498', 'ph-11134207-7qukx-li2t7tw9k28s1a']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,4534782770,09272023-1103,238345847,100629,BEAR BRAND Powdered Milk Drink  300g,300G/GR X 1,0,13000000,13000000,0,,Bear Brand,1716,12139,,11408,413,158,57,104,12140,4.89323109901888,15162,64730,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22110-l5eczcyaeljv13', 'sg-11134201-22110-lws0zbwaeljv5e', 'sg-11134201-22110-bnpjed5aeljvc7', 'sg-11134201-22110-9j1ipqsaeljv8e', 'sg-11134201-22110-38eixj7aeljvd1', 'sg-11134201-22110-dy50aqabeljvce', 'sg-11134201-22110-pn1oj7cbeljv8c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-27 11:03:00,7563131279,09272023-1103,238345847,100001,Pepsodent Whitening 2 Pieces 190g,19G/GR X 2,0,11900000,11900000,0,,Pepsodent,1141,9229,,8664,373,99,34,59,9229,4.901820546163849,13771,29829,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['a985d5d74f0ad570c9e2e7c306816ffc', 'cb4e8ecc7789978f9ff2e2f68eb01463', '2efaf392d403d01402f8fc182f3206f0', 'c2b2cd9769ff352836b6d0b012fa30ef', '3da7d11494abac9d69bd259d3bbf5ba2', '8c5832e215669761db81d4361b32dd47', '35a752bf718691cf61279274dbd24fb0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
